isi_tweet,uk,hs
"USER knp sih, pasti aja ketemu ni anak asu'",1,1
Sorry bgt aku lagi pengen misuh. Asu. Dah makasih.',1,0
USER astagfirullah asu\xf0\x9f\x98\xad',1,0
nilai rata rata gwe lbih kecil drpd dia asu?????? bda dkit sich',1,0
USER 10000000 kmntd bucin bgd asu',1,0
USER USER asu gua diam ya anjir',1,0
"lama2 gua ganti ava jadi baby beneran, asu\xf0\x9f\x98\x87'",1,0
Untuk apa baca doujin pas bagian anunya malah kepotong asu',1,0
hubunganku kok berat sebelah y. \nkalo dibilang end jg engga. kalo dibilang masih kyk dulu y beda. \ngimana dong asu',1,0
USER USER cma mslh kelingking doang asu',1,0
USER USER USER IYAIYA UDH WOI GUA MALU BGT ASU',1,0
USER ngomel mksutnya asu',1,0
USER Seng trending blunder kabeh jancok gak jelas blas asu',1,1
USER asu gue ngebayangin anjir',1,0
Asu disepeleke terus',1,0
USER bangsat asu bajingan. mmf emosi',1,0
USER lah asu',1,0
USER USER Asu ngena banget ke atii',1,0
asu lah',1,0
USER Oalah asu maap bang',1,0
USER siapa yg balas asu wkwkwk',1,0
USER Aduh JANCOK kesandung Asu',1,0
USER USER Jancok asu jembot',1,0
"Miss u ku dibalas thnk u , asu'",1,0
USER Asu dibalik celos :) .ga',1,0
Emg asu',1,0
trnyata daritadi mati listrik \xf0\x9f\x98\x83\xf0\x9f\x91\x8engapain aku nyarger hape asu',1,0
Pliss Brian sm gf ny cute bgt asu nggk kuat gw pen punya pacar',1,0
kaos hitamku ilang dua biji kemana ya asu',1,0
USER sumpah bener banget jahat bgt asu astaga',1,0
USER oalah asu\xf0\x9f\x98\x87',1,0
USER USER woi pegi asu',1,0
USER Bagusan asu padahal',1,0
"USER USER Gw kelebihan, lebih dr yg secukupnya, pd akhirnya putus asu.'",1,0
USER Knp harus asu \xf0\x9f\xa4\xa6\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f',1,0
yang uwu akan asu pada waktunya',1,0
duh asu kesel',1,0
RT USER kucing mecahke vas trus tak unekke asu tapi kok kucing',1,0
USER ASU WKWKKW',1,0
USER APASI ASU',1,0
asu anjing yg ngegerungin motor MONYETTTTT gue lg tidur',1,1
USER Asu gamau gaada yang gotong\xf0\x9f\x98\xad\xf0\x9f\x98\xad',1,0
USER Asu bajingan',1,0
RT USER USER zilef : cepetan anjrit.   zylaf : sabar asu https://t.co/8ggPDjYBnR',1,0
ASU UDH PUNYA CEWEK\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/5l3Ojc9mqX',1,0
"USER Raiola malah pengen donnaruma cabut sk milan, asu pancen raiola iki. Zlatan ae cabut wis gak diageni ambek de e'",1,1
Yang disalahin gua asu',1,0
USER gapapa si asu mksdnya\xf0\x9f\x98\x87',1,0
USER DEACTIVE AJA COK SOKSOKAN OPEN ENDORSE ASU',1,0
"USER USER Nama lu ga sesuai akhlak lu cok asu,kelakuan kok kayak animal'",1,1
USER tijel apasi asu\xf0\x9f\x98\xad',1,0
asu steam jadi kuning https://t.co/mz2Xgfrs35',1,0
USER USER Ngapain asu..',1,0
USER USER Bacod ajg asu sukanya ngadu domba pantesan kelakuan kayak animal \xf0\x9f\xa5\xb4',1,1
USER zilef : cepetan anjrit.   zylaf : sabar asu https://t.co/8ggPDjYBnR',1,0
USER Oalah asu jgn ngadi\xc2\xb2 rahasia negara itu',1,0
Pengen join tapi englishku koyo asu): https://t.co/CnHZrjmJti',1,0
USER Open ajg asu sukanya ngadu domba pantesan kelakuan kayak animal \xf0\x9f\xa5\xb4',1,1
USER Ngakak asu',1,0
USER USER Utekmu neng silit asu',1,1
"USER asu wkwk pegel gils, tp boleh si AHSHSHSHAHA'",1,0
USER USER USER USER USER USER USER USER KEBALIK ASU',1,0
USER NGAKAK ASU',1,0
"USER USER Halah bacod lu ajg asu tenan,modal gini lu kerjanya'",1,1
USER Kangen asu',1,0
USER USER Wkwkwk... Asu buntung',1,0
Asu gue diaduk https://t.co/TuCSO93hLI',1,0
USER oiya asu:))) dah ah kita musuhan aja ya',1,0
USER USER Wkwkwk asu',1,0
BuzzeRp goblok kntl asu!!!!!!',1,1
USER NGAKAK BGT COOOO ASU gue lupa lo emg genggem pulpen \xf0\x9f\x98\xadnangis',1,0
USER asu tinggalen ae',1,0
USER USER Layo ngono kok ngomong kabeh arek lanang podo ae asu jancok bajingan gatel salahku opo jembottttttt',1,1
Pagi pagi mood gw jelek bat asu',1,0
USER USER Asu. Ga nyadar',1,0
Ngapain ada ke uwu an didepanku asu -_-',1,0
USER USER emang sendernya sampis ksel gue norak asu',1,1
USER OALAH ASU GUE JUGA JDI KEINGETAN',1,0
MANIS BANGET ASU \xf0\x9f\x98\xad https://t.co/z5fJLWQgPH',1,0
USER USER Klo yg diatas diberi asu mas',1,0
"RT USER ngonthel oleh lheh, ning toto kromone asu'",1,0
USER KAK PUT CUEK BANGET ASU KEK DOI MALES BGT MONYET',1,0
USER Oalah asu pikiran gue negatip',1,0
USER Asu gua tonton 30x',1,0
lucu banget sih asu https://t.co/qyJgUtSv1w',1,0
USER Asu kan saya semenya',1,0
USER USER Asu mbo kiro boyo kancamu -_-',1,0
"USER Kisah orang2 pada uwu uwu, ga kaya kisah gua yg asu\xf0\x9f\x98\xad'",1,0
USER USER Gatau jir ini yg punya kosan w rese bgt asu',1,0
"USER USER asli tdnya gw kira ada gledeg, gatau itu pocong asu'",1,0
USER USER HAHAHA GEPRAN ASU',1,0
"USER btul yol sma, tp lama2 gumoh asu liatnya \xf0\x9f\x98\xad'",1,0
"RT USER Miss u ku dibalas thnk u , asu'",1,0
Kadang menungso yo iso diunekke asu mba wk https://t.co/ILNC1qu8ie',1,0
USER Oalah asu jamet yg satu ini',1,0
USER Anjrit baguss nal ah asu\xf0\x9f\x98\xa0',1,0
USER USER WKWKW ASU',1,0
Liat di tv berita dorce jadi supirnya Raffi Ahmad\n\nBokap gua:\nAsu wong tua dadi supire cah cilik tok',1,0
USER aku sayang kamu tapi kamu e nge ghosting asu',1,0
USER USER USER emg siapa asu',1,0
indirumah sprti asu',1,0
:v ini knp ngeselin bgt ya asu',1,0
"pancen asu tumindakmu ora patut ditiru, menungso watake ora bedo karo asu. Jingan!'",1,1
jingan mood banget asu\xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94\xf0\x9f\x98\x94 https://t.co/ATXCP9Y0VI',1,0
(asu)dahlah',1,0
ngapain gue bangun pagi asu',1,0
USER gw tambah nangis asu',1,0
USER ketawa bgt asu USER USER USER USER USER @mcflurrypumkin',1,0
"USER gara gara rambut gue jelek asu pernah diputusin ,'",1,0
USER Anjg bangst asu utangmu bayar!',1,1
"USER USER USER Hahahaha asu, ati ati sandal jepit mu pedot mari ngejar pedotan'",1,0
USER USER APAAN ASU',1,0
USER Iya asu',1,0
USER Oalah asu',1,0
USER USER USER USER USER USER USER USER ribut asu',1,0
USER cakeo bgt ASU',1,0
Asu ngerjain ujian blm selese dh ke log out',1,0
USER USER Jadi curhat\xf0\x9f\x98\x82',0,0
Apa2 saya apa2 saya halah asu',1,0
USER GUDUK LAPAK MISUH YO ASU \xf0\x9f\x98\x80\xf0\x9f\x91\x8d',1,0
"asu buzzer2an ki yo nggo ngopo to? pemerintah ra nyenengke, dikritik sambi guyon we ra ditompo!'",1,1
USER asu wkwkwkwk',1,0
gemeter bgt asu',1,0
USER asu emng',1,0
"USER  mending Lo keluarin dah jadwal yg berisi, bukan yg bersih, tolong banget, fandom gue kacau gegara lo ya asu'",1,1
"USER Wkwk asu, cuan tetaplah cuan'",1,0
USER *n tdk mndukung asu',1,0
asu asu ujian asu',1,0
Pagi2 dah minta jajan. Asu tenan... https://t.co/qW10QR7zgM',1,0
Bolak balik kesel e asu',1,0
USER USER cicing asu',1,0
HAH YEO LIVE JAM 10 NIH?? EH OIYA ASTAGA KAN JAM 12 KST LAH ASU GUE LUPA WKHSDHDJDJB MUK MAKAN MUK MANDI',1,0
"mata gua panas ih, masa mau nangis? tapi ngapa anjink efek pmsnya aneh bgt asu'",1,0
USER oalah asu',1,0
USER Oalah asu',1,0
USER USER USER Asu i wkwkwkw',1,0
USER Fandom tentara emang ngajak ribut semua fandom asu',1,1
USER uwu terus ak tetap asu',1,0
USER Ampe enak asu aja',1,0
udang saus padang enak banget asu',1,0
"reseptir asu wkwkwk jurnal lagi jurnal lagi mumet aku koas kok jurnal jurnal ae, aku gabisa nginfus ini lo masian :('",1,0
USER KALO ITU AK JG ASU\xf0\x9f\x98\xad',1,0
USER asu ngasi kepoyoh poyoh bajingan',1,0
"Baru benerin kacamata, framenya patah lagi asu  \xf0\x9f\x98\xa4'",1,0
oiya anjir nih matkul 1 blm uas anjirr asu',1,0
gua dari jam 7 mau mandi ga jadi2 asu',1,0
"USER asu, glgi ya w masakin\xf0\x9f\x98\xa1'",1,0
wah ternyata makin mampet \xf0\x9f\x98\x87 hm  asu \xf0\x9f\x98\x87 https://t.co/XHZDyBD0s9',1,0
"RT USER USER ga adil bgt cok, kisah org pd uwu"", kisahku kek asu'",1,0
USER USER Soalnya aku kasian sama anjing  kalo mau bilang asu.gak pernah salah',0,0
"Ket maeng isuk wes udan ae, olah asu. Dadi pingin kelon kan\xf0\x9f\x98\xa0'",1,0
USER mkst asu',1,0
kyuhgkshkdohrghnwtbtkrmrgmnrdbrnhikutomims',0,0
HEH MALU BGT ASU \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',1,0
USER 6 jg agak pendek asu',1,0
USER gdmrng',0,0
USER nil panjang banget asu',1,0
USER asu helm mu @noautocorrekt',1,0
Woh asu lagi mudeng aku',1,0
USER Weh asu',1,0
USER Yah asu',1,0
"USER OALAH ASU, RT'",1,0
USER Haha asu bgt',1,0
USER asu kejunya\xf0\x9f\x98\xad\xf0\x9f\x98\xad',1,0
Ga lagi-lagi deh demen sama tetangga\xf0\x9f\x98\x89asu',1,0
asu ngakak gue USER https://t.co/3tldUvsKFX',1,0
"Masih pagi... Masih pagi...\nsabar... sabar...\n\nsiapin buat nanti siang aja kata mutiaramu...\n\n""Asu""'",1,0
asu gw ngntuk bgt asli tp mger nutup mata',1,0
USER Guyune nular asu wlwkkw',1,0
USER biarin aja dari pada lu.\n\nbisanya kek asu \xf0\x9f\x98\x8e *guk guk guk*',1,1
USER USER Oalah asu gua baca jinc',1,0
"USER Tolol,gila,ga mau kerja,asu!'",1,1
woi ak muk dm cipa tp sinyalku kek asu',1,0
Gedek bgt buzzer asu',1,1
ih yi bikin vidii nyi pikii sirigim sikilih yi\n\nNYENYENYE ASU \xf0\x9f\x99\x82',1,0
"Sahabat lo pacaran diem"" sama gebetan loh, asu bgt'",1,1
"RT USER USER Akun buzzer asu emang... uu ite harusnya dipake utk menghapus akun buzzer kayak gini, perusuh emang'",1,1
pengen ngedit video drtd juga ga ngedit2 asu\xe2\x98\xb9\xef\xb8\x8f',1,0
"USER gue bisa, tapi gatel pengen ngetik asu'",1,0
berasa fucked up asu semua dipikir gini',1,0
USER USER APAA ASU\xf0\x9f\x98\xad',1,0
Asu lupa attendance lagi',1,0
"Turu mek diluk, salah madep pisan asu tenan'",1,0
USER USER Waton asu',1,0
USER Asu melok suuuu',1,0
USER ngguyune nular asu \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',1,0
USER asu aku pake implora',1,0
USER USER Ngakak bgt dong asu',1,0
USER Asu bingung??',1,0
USER asu cenan',1,0
"Pagi2 lagi kuis di kos denger suara jedug2 kek lagi uwawuwaw, asu asu jd ga fokus @ayangqm'",1,0
USER Bentar gue bingung mo manggil apa :( klo shu perasaan kek asu :(',1,0
USER makasi asu',1,0
USER ASU GUA NGAKAK GINI DOANGG',1,0
"oalah asu gue sering jbjb lo taunya kaga di fb ya babic, maaf gue bub tot. mau bersih bersih lah gue anjay yg on rep'",1,1
aduh bingung banget asu mau ngapain',1,0
"USER gak berjuang\xc2\xb2 taek asu, berjuang dewe yo kesel barang.'",1,0
USER asu banget @whrdatomato',1,0
selamat pagi dari aku yang stress ppdb taunya gajadi asu',1,0
nama sandi terngiang ngiang asu',1,0
USER tulisan mu kek tulisan bujo di pinterest alias bagus bgt asu',1,0
USER kalau ada apaa apaa cerita ya asu',1,0
USER Lu tuh anjrit sumpah lu tuh bangsat ye asu',1,1
USER \xf0\x9f\x98\x82\xf0\x9f\x98\x82ni asu wa',1,0
USER Ngomong asu didepan r. Kepsek alhasil dicari untung ganemu kalo nemu sp yg ngomong mati gue',0,0
nyusu asu https://t.co/LVfnWSTg3s',1,0
USER USER USER USER USER USER lo ke siapa? kyra susanto apa gw asu?',1,0
"USER Akun buzzer asu emang... uu ite harusnya dipake utk menghapus akun buzzer kayak gini, perusuh emang'",1,1
USER asu emng',1,0
USER um asu.....',1,0
USER Asu lbh ambyar',1,0
"Dibanding2in itu gak enak, asu.'",1,0
"bangsat gara"" kek klik 2 kali ga bisa masuk. asu tenan https://t.co/gnQdoxPeae'",1,0
Seger bet anjg wallpaper eug hehehehehehe\nPict 2\nSilahkan polosan asu https://t.co/wlEeAFrUWn',1,0
USER \xf0\x9f\x91\xa7 Y\n\xf0\x9f\x91\xa6  Hem\n\xf0\x9f\x91\xa7 Ok\n\xf0\x9f\x91\xa6  Apa?\n\xf0\x9f\x91\xa7 Dahlah asu',1,0
USER [ asu aku yo pengen minggat ndek kosan. aku yo pengen dolan meneh. \xf0\x9f\x98\x94 ]',1,0
Permisi ak mo ngmg asu\nTrims.',1,0
USER USER Oalah asu',1,0
USER laik asu',1,0
USER [koncoku moleh kabeh asu tenan aku gaiso minggat nang kosan hixhix kangen ngopi ngopi nang kantin]',1,0
USER Waaaa iso twet bales wa ku raiso asu. \nHbd jancok \xf0\x9f\x91\x88\xf0\x9f\x91\x89',1,0
emang asu si krom https://t.co/1lDklwsLU9',1,1
"USER Betina sok sok an ini mah, asu'",1,1
Belajar kata sinonim\nToo much talking  - bacot\nMouth  - cocot\nDamn  - jancok\nShit - asu\nWtf - Kebangetan lu yak',1,0
USER asu ngorong',1,0
USER USER to the point sekali asu',1,0
enggak kuliah malah nambah tagihan kan asu',1,0
USER Asu kok sama :(',1,0
USER meneng o asu',1,0
"USER USER Waduh mak laher udah mengglambir seperti sapi mau nemecah belah bangsa, pdip asu'",1,1
USER heh asu buka kartu lagi',1,0
USER USER Typo si itu bukan asu:(',1,0
USER UDAH APA ASU?????',1,0
USER yeuuu asu',1,0
"ku menangisss, asu https://t.co/GA2Shmyl4S'",1,0
USER we asu buka blokirannya ada berita dan ke pasti senang dengan berita iniiii',1,0
"Imut kali dikira org"" mw ngeladenin dy trs. Mening nanyany baek"" ini nyolot asu'",1,0
"USER USER punten, gampang integral sama turunan dari pada trigono a, tapi asu ketika integral fungsinya trigono :)'",1,0
nek pancene asu sejak lahir \xf0\x9f\x98\x8f https://t.co/BELAKkaE4y',1,0
"USER USER asu i, stiker ae di paido opo maneh raimu kak\xf0\x9f\x98\xad'",1,0
USER GAK ADA ASU',1,0
USER JAHAT ASU GAK GITU JUGA MAMEN',1,0
USER Mending ojo pms koene asu-_-',1,0
"USER aku sabar paling cuma mbatin ""asu"" \xf0\x9f\x99\x82'",1,0
"USER Ngomong apa itu kog asu""'",1,0
BJIR MIMPI APAAN ASU https://t.co/qpqQodpu3M',1,0
SUMPAHH WAKTU ITU GUA NEGOR BAPAK BAPAK YG NGEROKOK TERUS DIA MALAH KESEL ASU https://t.co/VYhCr63uFO',1,0
USER asu sabar nyok',1,0
USER Asu barbar banget sialan',1,0
USER oala pagi pagi ak dapet fucek. jahat banget ya asu',1,0
USER Knp lewat jam segini sih beginian bikin gatenang asu',1,0
USER USER jeo asu anjg',1,0
Asu lho lek galau lanangan gaiso nulis lagu tapi lek galau agama encer.',1,0
RT USER Oleh oleh haji buat anak ASU?TEEN USER https://t.co/K6C8MnLW7G',1,0
"w tiap di chat org kgk tau mau bls apaan asu, pdhl pgn chat an \xf0\x9f\xa4\xa1\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbc'",1,0
USER USER MASI PAGI ASU',1,0
"Seimut imut imutnya asu , yo panggah ae asu'",1,0
USER ANJROT NGAKAK BANGET ASU',1,0
"RT USER USER Njobo ngguyu njero mbatin"" pancen asu""'",1,0
USER GUA DARI TADI NYARI VOTE ASU AMPE KRITING JARI GW',1,0
USER Brisik asu',1,0
RT USER Konco asu yo ngunu kui.. ehh astaghfirullah',1,0
USER USER USER Asu randue duit aku su',1,0
2 menit menjelang uas gini malah mules asu',1,0
USER ASU LU',1,0
USER kok gua deg-degan asu',1,0
"Hoalah asu, bendino enenge muk salah terosss, turu e yo salah ketokke\xf0\x9f\x98\xb4'",1,0
USER Oalah asu jean',1,0
asu bgt',1,0
USER asu wkwkwk',1,0
RT USER Mmf ketika ada tulisa _SU pasti aku bacanya ASU mmf bgt p mew \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f',0,0
"USER USER cok, goblok asu'",1,0
Wes tuwek Ruwet mbulet koyok entut bajingan pisan. Kon wong opo anjg su asu',1,1
"USER asu aku tersinggung, nyat ra due tenan o lee jingan :(((('",1,0
Dikei ati njaloke jantung ooo ASU',1,0
USER ASU suaranya sexy bat coi huhu \xf0\x9f\x98\xad\xe2\x9c\x8a',1,0
USER apaka km sudah bertemu integral itu adalah materi paling asu',1,0
Hehe asu',1,0
USER Apaansi asu',1,0
"USER template misuhku selalu sama mau diklakson apapun ""sabar asu mau cepet naik ambulance!""'",1,0
"USER su asu,tabah y'",1,0
USER jangan sengaja bersikap bodoh untuk mendapatkan perhatian dari orang lain. asu',1,0
males bgt asu',1,0
Asu Cok asu.',1,0
USER jahhhh asu',1,0
USER penak y misuh asu',1,0
this is embrassing dan tdk spt aku. we kabeh asu ily i really do. https://t.co/CH47hWFwiI',1,0
Perut gw tiap pagi mules asu',1,0
USER USER USER USER USER 1.begin\n2.hug\n3.asu wa kuru kara\n4.wasurenaide\n5.proud',0,0
itu tiara ama lintang serbu aja lah akunnya asu',1,1
"Bawa ikan koi 28 ekor yg mati 25, asu'",1,0
USER \xe2\x80\x9casu jalanan bapak lu apa ya\xe2\x80\x9d',1,0
WOII HAHA TEMEN RL BANYAK YG FOLLOW ASU \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',1,0
"Ngga di rl, ngga disini\n\nSama2 asu kubb ue ue ue\xf0\x9f\xa4\x97 https://t.co/LuE7tB9QAY'",1,0
USER USER asu lu ngapain nge desah jingan',1,0
HEEE ASU TENAN W KIRA SEMALEM TRACK TAUNYA MV TEASER\xf0\x9f\x98\xad\xf0\x9f\x91\x8e\xf0\x9f\x91\x8e\xf0\x9f\x91\x8e',1,0
USER asu gue mlah blsi di ryujin pkok',1,0
masi pusing asu bgt',1,0
Bangsat emang jadi junior tolol bet tolol. Rambut udh sugab bgini mendekin pula lah asu meneh!',1,1
"USER Minta dibangunin cuma mau pamit ditinggal dolan, wwoooo asu'",1,0
Wkwk asu ugaaa bangun pagi2 serumah pada kaget apalagi art lho om kok wis bangun ada apa jawab ae mo kerja ~bye wkwk tpi boong',1,0
USER kok asu',1,0
USER USER Asu ragat dewe',1,0
intine aku ra kenal koe. nek arep ngecroh yo ayo asu gek dm',1,1
USER Awale tok seneng sue sue yo koyo asu',1,0
"99832y456i47r8uusudg,hjsgfhbvnfa,bjvgfbh'",0,0
2. Asu Wa Kuru Kara (85 votes) https://t.co/3PBh7qiwph',1,0
USER Asu mbok yo nyalip o ae rpp',1,0
USER asu nyimeng\xf0\x9f\x98\xad\xf0\x9f\x98\xad',1,0
USER USER ngakak asu',1,0
ASU GUA BRU INGET AD JANJI JAM 11 ARGGG MAGER YA LORD MAU BANGUN...',1,0
ini sendernya gmn ya jdi beban kasian tp ngakak asu https://t.co/4XtrsLYHAc',1,0
USER Weh su asu',1,0
10 menit lagi ulangan gue masih rebahan asu.',1,0
ihh asu bajingan tapi sayang gmn ya',1,0
USER USER Lokal fakboi bangga emang asu',1,0
USER wkwk asu',1,0
Mampos kolestor dipagi hari grgr udang \xf0\x9f\x98\x8c\n\nkaga makan laper dimakan gini amat asu bgt dah',1,0
USER masih pagi udh ngomong asu. pagi jg su\xf0\x9f\x98\x9a\xf0\x9f\x92\x97',1,0
USER Kebiasaannya Bajul jantan wkwk',1,0
"USER Abangku banyak di sana \xf0\x9f\x98\x82 katanya banyak bajul, tapi abang\xc2\xb2ku baik kok \xf0\x9f\x99\x83'",0,0
USER USER USER Dasar Bajul Klowor \xf0\x9f\x98\x8c',1,0
"USER USER Njirrrr, bajul \xf0\x9f\x98\x8c'",1,0
USER Agagaga cah bajul tok isine \xf0\x9f\x98\x82\xf0\x9f\xa4\xa3',1,0
USER bajul',0,0
USER Jare akeh bajul e',0,0
USER Penangkaran/budidaya/produsen/kandang bajul',0,0
USER USER Lak iki bajul wedok e',1,0
USER USER cangkeman bajul',1,0
USER takut bajul',0,0
USER USER Sepik sepik. Nggombal nggodani. \n\nMungkin sko kata bajul (buaya) jd mbajul (lambe lamis buaya)',0,0
"USER cuitan bajul sih iya, untung ga sembarangan ngasi nomer wassaf\xf0\x9f\x98\xad'",1,0
USER woo bajul',1,0
USER USER Bajul = boyo',0,0
USER Seng moto bajul kak',1,0
"Bajul wati say ""ada ak di sisimu"" aw malu bgtt\xf0\x9f\x99\x88 https://t.co/MLyv4I97RY'",1,0
USER USER USER Biasane sek cilik dikandani lek bapak e iku bajul ibu e ulo.',1,0
"USER Salam ke bajul bajingan ya :')""",1,0
USER Kemarin di bajul mati riis. Sepiiii cuma ada beberapa motor. Tapi nggatau pantai yg lain.',0,0
tul jaenak jae jatul jaeji \nkuntul jare banyak ndog e bajul kari siji',0,0
USER Mosok gak golek seh? Title bajul e iku lo digawe',1,0
"USER gpp nder gitu aja. praduga bersalah, emg cowo sby bajul kabeh.'",1,1
USER Mendeteksi bajul',0,0
USER USER tidak ingin menghadapi kegoblokan bajul noob',1,0
"waktu SD, sering main bajul-bajulan\npadahal permainannya cuma nyebrang lari""an doang \xf0\x9f\x98\x82'",0,0
USER GUE KIRA LO YANG JADI BAJUL NYA',1,0
USER USER Apakah kalimat diatas omongan bajul?',1,0
"bagi video org masak bajul dong, satisfying sekali'",0,0
USER Bajul',0,0
USER Disitulah buaya/bajul/garangan masuk di sela-sela renggang sumpah matrimoni',0,0
"RT USER Elhayo pancene ngamukan og aku, ra pms ae ngamukan po neh pms o bajul'",1,0
USER USER AKHIRNYA BAJUL BETINA BUKAN AIK LAGI WKWKWKW',1,0
USER USER aku setia kalo km pap -bajul covid era 2k20',1,0
USER bajul mati',0,0
"Elhayo pancene ngamukan og aku, ra pms ae ngamukan po neh pms o bajul'",1,0
USER USER Bajul Ijo! https://t.co/MsQ9jWKsco',0,0
RT USER USER #djemoer Penghuni Lini Tengah Bajul Ijo \xf0\x9f\x90\x8a\xf0\x9f\x90\x8a https://t.co/A2wAkMyUsW',0,0
"USER Coba belajar dari bajul nder, bajul biasanya pinter omong'",1,0
USER USER bajul',0,0
"Ati-ati rek, bajul filsafat. https://t.co/SJlPFKMgj7'",1,0
USER #djemoer Penghuni Lini Tengah Bajul Ijo \xf0\x9f\x90\x8a\xf0\x9f\x90\x8a https://t.co/A2wAkMyUsW',0,0
USER bajul btl emg kelakuan',1,0
USER bajul',0,0
"USER mundur, itu bajul'",0,0
USER Bajul ijo metu',0,0
USER Anak bajul',0,0
USER Bajul',0,0
"USER Maljum sihh, ga kaget akeh bajul berkeliaran\xf0\x9f\x98\xad'",1,0
USER Bajul',0,0
USER Emang bajul ws kebacut',1,0
USER Sg valid bajul opo asu iki?',1,0
"USER Guduk ganteng iki mah. Bajul yg sok iye lek menurutku, alay wkwk'",1,0
"USER dih. belom tobat, bajul?'",1,0
USER USER BAJUL \xf0\x9f\x98\xad',0,0
