isi_tweet,uk,hs
"USER bego bgt sok ide masangin pelindung layar hpnya emak, GELEMBUNGNYA BANYAK BANGET ANJIR\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x91\x8e\xf0\x9f\x91\x8e\xf0\x9f\x91\x8e'",1,0
USER USER sebenernya gw bodoamat sih siapa yang nikah juga anjir bodoamat anjir. netizen ngapa KEK apa ya KEK apa y. shit! norak bgds. \n\nUWU UWU apaan UWU UWU gw colok nih \xf0\x9f\x94\xab',1,1
"USER USER Ya elu seremin anjir pake \xf0\x9f\x98\x8a trus bilang makasih ya adit udah mau reply, siapa yang ga takut woi \xf0\x9f\x98\xad'",0,0
USER RT USER Gue daritadi ngebacot banyak bener kayak siaran presiden tapi kagak ada satupun yang mau nyapa gue anjir!',1,1
"USER RT USER eh anjir aku siap redah highway lagi 13km dia boleh bagi banyak tu ja. bukan nak merungut, tapi boleh fikir logik kot. kal\xe2\x80\xa6'",0,0
USER Gue daritadi ngebacot banyak bener kayak siaran presiden tapi kagak ada satupun yang mau nyapa gue anjir!',1,1
USER bikin kepo anjir siapa yg ngirim\xf0\x9f\x99\x83\xf0\x9f\x99\x83',0,0
USER RT USER Anjir susah ditebak tu kayak tts ajaa\xf0\x9f\x98\xad\xf0\x9f\x98\xad\nHeh siapa ini hayo ngaku berarti ini dekat sm aku weeeee oi oi \xf0\x9f\x98\xad\xf0\x9f\x98\xad',0,0
USER USER ngga si cuma kadang mikir \xe2\x80\x9cjodoh aku siapa ya?\xe2\x80\x9d kek takut aja anjir',0,0
USER USER Nu gelo anjir',1,0
USER ini siapa anjir\xf0\x9f\x98\xad\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbb kalo kata kash om2 https://t.co/hVoWqD28fx',0,0
USER Anjir susah ditebak tu kayak tts ajaa\xf0\x9f\x98\xad\xf0\x9f\x98\xad\nHeh siapa ini hayo ngaku berarti ini dekat sm aku weeeee oi oi \xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/U5JY8ZlLKO',0,0
USER USER baru semingguan anjir dah tau tau manga-nya udah mau tamat. Hidup gue sia2 bgt selama ini\xf0\x9f\x92\x94',0,0
USER USER Sabar yak ya wkwkwkwkwk siapa tau malah menang beneran anjir biasanya beneran kan kejadian',0,0
USER Kerjaan siapa ini anjir\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/5KwsskIJ3W',0,0
"USER RT USER USER USER USER Emosi banget gua kalau ada yang ngirim gituan di base. Anjir lah yang ngewe siapa, yang sur\xe2\x80\xa6'",1,1
USER iri aing sama si tai ini anjir USER \xf0\x9f\x98\xad',1,1
"USER asli, klo ditanya ""emng lo gak penasaran?"" Jelas penasaran lah anjir, siapa yg gk muk taw akun pribadi idol sendiri? cuma kalo idolnya belom mau terang-terangan ya tungguin aja, asli makin banyak yg penasaran makin banyak juga oknum yang ngak",0,1
USER USER gemes anjir aing masih gakuat',1,0
USER USER kaget dikira siapa anjir ini',0,0
"USER USER Anjir jan gini dong, kmren rp siapa emgnya?  :('",0,0
USER Dah seminggu tak dating anjir samil ni masing masing cuti tak sama. Last nampak dia dekat hat tu pon tengok dari jauh je. Apa lah khabar budak tu. Harapnya dah kurus :)))',0,0
USER USER USER anjir kanhehsiio siapaaa??????',0,0
USER anjir lah siapa ini yg masih dangdutan jam segini......',0,1
USER USER USER ini siapa anjir aing ga kenal',1,0
"USER USER aing td mikir keras anjir, kalo lewat setbud sieun korona terus kalo lewat sarijadi sieun jurig'",1,0
USER Ini Piyu ngapain nangis anjir!! Katanya dia gak mau ninggalin kalian! Btw sorry nih! Kalian komen dong! Biar Piyu bisa lihat siapa aja yang masih kangen sama dia?',0,0
"USER RT USER eh anjir aku siap redah highway lagi 13km dia boleh bagi banyak tu ja. bukan nak merungut, tapi boleh fikir logik kot. kal\xe2\x80\xa6'",0,0
"USER Hmm even ini akun buat mutual terdekat pun gua lupa siapa siapa aja anjir, malah kek asing juga \nUdah gila emang saking lamanya kagak bersosialisasi'",0,0
USER USER USER Chat sama siapa bocor anjir :)))))',0,0
USER USER USER Anjir kok dia berbuat baik malah kena sial',0,0
"USER USER Padahal gue gapernah tidur malem malem anjir, dan selalu tidur siang aneh bgt emang'",0,0
"USER Speechless saat ade bener2 ngomong serius sumpah kek anjir ko bisa dia lebih dewasa daripada aku yang udah tua kaya gini, bisa lebih bijak mengungkapkan apa yang baik dan yang buruk, gila sih malu banget sialan tapi sayang'",0,0
USER USER Otto sutomo siape anjir wkwk',0,0
USER gue gangerti lg kenapa bisa sesayang ini sama looooooo\xf0\x9f\xa4\x92 gapernah sesayang ini sama idol siapapuuuun anjir udh gila apa ya gua??????oh tentu tida aku masi waras\xf0\x9f\x98\x8a met malem doy\xf0\x9f\x98\x8e https://t.co/tcYjVCMucn',0,0
USER USER Gua pas td siang nothing sedih bgt anjir kisah nya si dd terus mba Kunti nya juga kasian:(',0,0
USER USER Ini siapa anjir lincah bgt jogetnya wkwk',0,0
USER USER Heh hyung siapa yang ngajarin anjir',0,0
USER USER ini siapa anjir',0,0
USER sumpah muka dia mirip kakelku smp dulu tapi namanya siapa lupaa\xf0\x9f\x98\xad\xf0\x9f\x98\xadmirip polll anjir\xf0\x9f\x98\xad https://t.co/BjaU0cVmcR',0,0
USER Anjir gue kira siapa https://t.co/jKL7DNnre1',0,0
"USER USER USER iya anjir sampe didukung sm mas pacar, aplgi sampe jadi sepupunya bias nya, ya Allah aku mah apa atuh\xf0\x9f\x98\xad'",0,0
USER Ini siapa anjir WKWKKWWK https://t.co/bDNn5AaEr8',0,0
USER USER Anjir ngakak emak siapa itu woy\xf0\x9f\xa4\xa3',0,0
USER USER hah engga anjir... lo ada sama orang siapa gitu',0,0
USER USER Anying ini siapa sin \xf0\x9f\x98\xad\xf0\x9f\xa4\xa7 gw dulu ong pke sarung tangan aja dah sakit ati anjir \xe3\x85\xa0\xe3\x85\xa0',1,0
USER USER Anjir ini siapa yang masukin https://t.co/msSgt3DNpV',0,0
USER USER iya sirik gapunya cowo. ni siapa si anjir bnrn RISIH gue BUANG LU YA',0,1
USER nisa siapa anjir',0,0
"USER RT USER USER USER USER Emosi banget gua kalau ada yang ngirim gituan di base. Anjir lah yang ngewe siapa, yang sur\xe2\x80\xa6'",1,1
USER USER anjir lah aing kapan',1,0
"USER RT USER eh anjir aku siap redah highway lagi 13km dia boleh bagi banyak tu ja. bukan nak merungut, tapi boleh fikir logik kot. kal\xe2\x80\xa6'",0,0
"USER Temen gua kaga pernah post tiktok tapi punya apk itu, terus bagian kolep sama gua ya gua pikir dia ga bisa gerakannya atau kaku, etapi ternyata malah lebih pro, sialan. kadang suka ngakak terus dalem hati \xe2\x80\x9cah anjir temen gua gi",0,0
USER Anjir gw mau tidur malah keluar preview sialan',0,0
"USER anjir benerbener ini siapa sih gue nangis malem malem garagara ini wkwk. makasih banyaaaak ayangieee, lo jangan sungkan ketuk dm buat cerita ya if it gets too much for u to handle it by yourself huhu wuf u \xf0\x9f\x98\xad &lt;3 https://t.co/",0,0
USER USER Lah apart siapa anjir\nNgak mau ketemu beril \xe3\x83\xbd(\xef\xbd\x80\xe2\x8c\x92\xc2\xb4)\xe3\x83\x8e',0,0
"USER RT USER eh anjir aku siap redah highway lagi 13km dia boleh bagi banyak tu ja. bukan nak merungut, tapi boleh fikir logik kot. kal\xe2\x80\xa6'",0,0
"USER yang mpls siapa yg ribet siapa, mls anjir'",0,1
"USER USER thankyou, btw ini siapa anjir'",0,0
USER USER anjir sialan banget elu ngakak wkwkkwkwkwkwkkwkwkwkwkwkkwk',0,0
USER Ade aing semangat banget \nBesok masuk sekolah jadi anak esema\nBanyak tanya banget anjir \n\nAde: teteh dulu SMA gimana\nMe:... (ngomel2) nanya mulu bla3\n\nBingung anjir dulu sekolah cuman buat tidur',0,0
"USER kalian pernah g sih pas liat cermin kdg muji muji diri sendiri gt, aku sering bgt deh kayanya bilang ihh km cangtip bgt ululu matanya cute bgt anjir siapa sih ini. kaya seneng aja gt muji diri sendiri\xf0\x9f\x98\x81\n\nmaaf ya kalo belibet ueu",0,0
"USER USER Pernah anjir dulu w sok""an gamau teriak biar keren gitu, pas dah turun malah mabok muntah'",0,0
"USER RT USER USER USER USER Emosi banget gua kalau ada yang ngirim gituan di base. Anjir lah yang ngewe siapa, yang sur\xe2\x80\xa6'",1,1
USER Anjir tembus 50\xf0\x9f\x98\xad siap2 yakk\xf0\x9f\x98\xad',0,0
"USER USER Anjir?\xf0\x9f\x98\xad Kalo kejatuhan cicak katanya mau sial?, Eh gatau juga sih tapi ini geli banget\xf0\x9f\x98\xad'",0,0
USER USER Siap siap gemes sendiri ni anjir\xf0\x9f\x98\xad',0,0
USER USER liat aja anjir since berapa di bio dan sialnya ampe sekarang masih takut jbjb\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',0,0
"USER woi anjir w tanya apaan ke doi, siap siap perang dunia ke 3'",0,0
USER USER USER USER USER Emang siapa anjir aku aja lupa\xf0\x9f\xa4\xa3',0,0
USER USER anjir w kira siapa wkwk soalnya hary huruf R nya cm 1 donkk',0,0
USER USER Anjir gua cursing bacanya ya sial wkwkwk',0,0
USER Gua kira tweet siapa anjir',0,0
"USER USER anjir sial, napa bisa sexy gitu? anjir dah anjerr'",0,0
"USER RT USER USER USER USER Emosi banget gua kalau ada yang ngirim gituan di base. Anjir lah yang ngewe siapa, yang sur\xe2\x80\xa6'",1,1
"USER seriusan sekolah gua ribet banget anjir plin plan mulu. setiap guru yang dtanyain beda jawaban, terus kudu percaya siapaaaaaa amjink'",1,1
"USER USER Ya gapapa kali anjir. Yang ga normal itu mulut mereka yang SOK ngatur hidup orang. Tuhan aja bukan, mana sok bener. Anying.'",1,1
USER USER siapaa anjir allahu\xf0\x9f\x98\xab\xf0\x9f\x98\xab',0,0
USER USER USER anjir maneh harus baca wkwk',0,0
"USER USER Animagus siapa anjir, bapak kos? Anan?'",0,0
"USER USER Minjem sendal buat wudhu. Aku gtw itu pny siapa trs aku balik2 ada pengumuman dri speaker ""bagi yg melihat sendal blablabla"" TERNYATA PNY GURU DONG. Aku lgsg lari ke mushola trs guru nya blg ""lain kali ijin dlu ya mba"" UDH GTU DILIAT KAK",1,0
USER siapa dah anjir',0,0
"USER Nikah muda gpp sih asal udah siap semuanya wkwkwk anjir dulu 2016an apa ya, jaman2 awal kuliah deh maklum mahasiswa baru yg mudah tergiur, terus yaa gitu terpengaruh dipikiran kalau nikah ya gas aja gk usah mikirin apa2, untung sadarnya cepet \xf",0,0
"USER ""Aww jadi malu.."" ucap Mini sambil menampilkan gesture sok imut pada wonjiin dan membuat wonjiin bergidik geli karenanya.\n\n""Lo emang udah ga waras Min, gue yg malu anjir.""\n\n""Kelas Yunsong mau main basket sore ini, dia ikut main. Lo mau ikut",0,0
USER USER Anjir ya siapa yg traktir aku nantii\n\nDedek vely tolong baik hatinya di kontrol',0,0
USER ga sehat anjir :( pagi ngebabu siang goleran malem valorant sampe pagi huft',1,0
USER USER Ga dua duanya nder soalnya mo sm siapa anjir',0,0
USER sepi bat anjir tl aing',1,0
USER ak sok asik bgt anjir\xf0\x9f\x98\xad',0,1
USER Kertas sama batu menang siapa sih anjir kok gua lupa wkwkwk\n\nAYO PENDUKUNG KISOS DIKURANGIN YA DUIDNYA\xf0\x9f\x98\xbd https://t.co/f5ObfOn5IP',0,0
"USER Hah, perasaan typing saya biasa-biasa aja.\n\nWkwk masa? Aku ga percaya\n\nAwwwh,, msa typink kmu biasa ajh sich???\n\nYa gue jg gatau anjir\n\nAku nda mau temenan sama kamu (\xef\xbd\xa1\xe2\x80\xa2\xcc\x81\xef\xb8\xbf\xe2\x80\xa2\xcc\x80\xef\",0,1
"USER 1. isinya bes anjir\n2. 2/3. yoona, iu. \n3. gua lrp, jadi ya gitu.\n4. anjir ini gegara mikseran tadi siang\n5. https://t.co/YezZ1Uzx0I'",0,0
USER Fix inima w besok blm kbm anjir jadwal baru blm dibagi wali kelas baru aja kaga tau siapa\xf0\x9f\x98\xad',0,0
USER USER sok klesi bgt anjir',0,1
USER USER tp klo rl ngehype breng tu mlh nysek bawaany kek pgn sok lebih pro diri sndiri anjir g baik bgt',0,1
USER Anjir bisa ye bisa siapa tau dapet diskon makanya rame-rame https://t.co/EP7n396SGz',0,0
USER ini rumah siapa gua nemu di lapak epbe itu gimana coba kalau mau keluar terjun langsung gitu \nngakak anjir dari tadi \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/zuIwu6bl1Z',0,0
"USER abis cek classroom yg isinya satu angkatan, sial gua kira si bret anjir\xf0\x9f\x98\xad\xf0\x9f\xa4\xa1 https://t.co/s8cOJj3Hyl'",0,0
"USER ""rin aku mau ngilang dri persosmedan""\n""ywd sok""\n""anjir responmu kok gitu""\n""la trs?""\n""tanya kenapa gitu""\n""bodoamat""\n\nSekian,wassalam.'",0,1
"USER RT USER USER USER USER Emosi banget gua kalau ada yang ngirim gituan di base. Anjir lah yang ngewe siapa, yang sur\xe2\x80\xa6'",1,1
USER Banyak fanart Kitaro yang udah gede. Dan ak yang liat fanartnya hanya bisa jerit jerit dalem hati. Ganteng banget sial. MIRIP ANAK EMO TAPI GANTENG GA JIJIK KE ANAK EMO TAPI GANTENG GIMANA SIH YA GITULAH ANJIR GANTENG POKOKNYA',0,0
USER USER anjir siapa nih',0,0
USER 1O) mv siapakah ini? gampanglah anjir wkwk https://t.co/YM0IQn8Py1',0,0
USER USER Anjir ari ngomong teh sok bener',0,0
USER Itu siapa sih anjir penasaran gue \xf0\x9f\x98\xad\xf0\x9f\x98\xad bara rp sehunnn',0,0
USER USER USER USER USER anjir siapa ini',0,0
"USER apa urusannya anjir\nmane so so udh lebih siap dgn ngomong kaya gt, pdhl nihil\n\nkalo mane ga bisa bikin bocah betah main sm mane, berati mane blm siap jd ibu. gitu? \n\ngausa banyak julid, siapin aja diri mane sebaik mungkin. dah ya.'",0,1
USER USER Iya anjir lawak banget. Gue kaget dikira gue siapa yg nge chat \xf0\x9f\x98\xad\xf0\x9f\x98\xad\n\nUwuuu \xf0\x9f\x99\x86\xf0\x9f\x92\x9a\xf0\x9f\x92\x9a',0,0
"USER USER Pusing gue git anjir, ye siape yg ga mau kurus gt cmn ye gue nya aja kaga niat ye gmn mau kurus lah anjir wkwkwk'",0,0
USER USER smp dulu aing paling ngebolang ampe sd muhamadiyah buat jajan makanan sd gituu:( anak zaman skrg cepet gede bngt anjir\xf0\x9f\x98\xa2',0,0
"USER barusan aku cek classroom yg isinya satu angkatan, ternyata banyak yg aku ga kenal, dalem ati..\n(anjir ini siapa woy kok aku baru tau dia sklh sini) \xf0\x9f\xa4\xa1'",0,0
USER 25. paling bloon ya lo semua anjir bengek. gausah sok pinter apalagi lu bes bengek @NCOOLTRUEV',1,1
USER USER diaa siapaaa anjir :(',0,0
USER USER hahaha anjir maaf bang aing ngakak \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 mana yang depan pada tinggi pula',0,0
USER USER jd inget video tiktoq tenyu yg anu anjir emang sialan yg ngedit BHAHAHA',0,0
USER ini yang di 226 siapa anjir gua takut liatnya https://t.co/9BRnPLVslB',0,0
USER Tergantung on nya dimana\n\nTapi sama siapa anjir https://t.co/Rplpbdpp4g',0,0
USER USER Tuluy weh anjir ges muak aing',1,1
USER USER sama nih kita anjir oke siap',0,0
USER USER USER USER USER Nulisnya sokjin anjir kek aku',0,0
"USER gua udh pernah nyoba baca semuanya yg disebutin di atas tp emg bkn selera gua jd gosah maksa anjir nyuruh baca itu mentang2 rame??? tp bkn brrti gua ngejelekin selera org yg baca ketiga ff di atas ya, selera org beda2 gua gabakal sok edgy bilan",0,1
USER USER Gambar na buren anjir panon aing nyeuri',1,0
USER USER anjir siap saji gt\xf0\x9f\x98\xad',0,0
USER Weh anjir maki gendut aing \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',1,0
USER USER USER USER USER USER USER USER USER USER giig siape anjir \xf0\x9f\x98\xad',0,0
USER Gue takut besok bangun siang anjir\xf0\x9f\x98\xad',0,0
USER USER ((ga sia sia)) anjir nangis \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad',0,0
USER Belom siap liat sechan ya anjir gue',0,0
USER setelah drama tangan kesabet skrg drama kaki gua berasa ketarik uratnya anjir sok\xe2\x80\x9dan bgt emg gua skipping tengah malam hwek',0,0
USER USER USER USER USER USER sama siapa anjir cariin dongg makanyaa\xf0\x9f\x98\xad',0,0
USER Auah ... Males..... sok baik... Dasar.... Mboh lah... Anjir...pen ngumpat anjay..... \n\nAstaghfirullah.....  mboh sak karepmu',0,1
USER suka bingung kalo ditanya lg deket sm siapa atau gebetannya siapa atau lagi suka sama siapa. gada anjir\xf0\x9f\x98\xad',0,0
USER Gutto jadi anak galau semua disponsori oleh siapa anjir',0,0
USER Td siang kaya hamil 3bln skrng 4bln.\nGrgr blm berak ni anjir',0,0
USER USER ini bapak siapa lu pap anjir',0,0
"USER Renjun pernah, gue lupa. Ros\xc3\xa9 juga, siapa lagi ya anjir lupa https://t.co/lCxEwtS7lO'",0,0
"USER Setiap denger love story dibagian reff selalu liriknya ""julio save me.."", julio siapa anjir'",0,0
"USER ""Lagian lekmu (ibukku) kok ruet"" hei hei siapa yg ruet orang cuma tanya nying. Lu mau kawin mau mehong mau nyungsang nyunglet suka suka lu anjir. Tapi awas aja sampe abis ngomong gitu lu ngribetin mak w'",1,1
USER Ini keluarga nya siapa anjir https://t.co/2VsAlGJg6Q',0,0
USER Yatuhan bayaran mahalnya kim soohyun ga sia-sia banget anjir ko bisa sih chemistry nya sampe meluap-luap gitu huhu sakit kepala',0,0
"USER USER Pas mpls blm kenal siapa""trs kekantin sendirian dah ke anak ilang trs mau masuk ke kls tapi gaada yg dikls karna makannya diluar...akhirnya cma jalan lurus pas mentok diem trs jalan lg kekantin duduk pas bel baru kekelas sumpa",0,0
"USER RT USER USER USER USER Emosi banget gua kalau ada yang ngirim gituan di base. Anjir lah yang ngewe siapa, yang sur\xe2\x80\xa6'",1,1
"USER USER anjir sedih kieu :') sok inget cep yudi USER wkwk""",0,0
"USER USER Jangan sok iye lu anjir, padahal lu tuh caper banget'",0,1
"USER buat cowo"" yg nongkrong depan gg rmh gw setiap siang sore malem, pliss bgt anjir bisa ga sih pindah aja gw mau ke warung mls lewat nya woi klo ada kalian elah'",0,1
USER USER Anjir benih siape tuh',0,0
"USER Kangen anjir, ngerti atuh!'",0,0
"USER panginten sia rada teu jejeg, kasep kieu dipoyok anjir... MA HENSEM BOI\xf0\x9f\xa7\xa1\xf0\x9f\x92\x99 https://t.co/B5O9b2HKwX'",1,1
"USER USER Kalo sangyeon negur pasti ""udah deh kalian ngak usah begini begitu"" pas unje ""Lu kira kita bangga kalo lu begitu, sok iye banget"" anjir kek keanu'",0,1
USER USER Sama sia mah bisa mitap anjir',1,0
USER USER gua gak tau siapa dia anjir',0,0
USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER Jadi siapa wwnya anjir 9 biji banyak benerr',0,0
USER USER siang ah anjir',0,0
"USER Caca anjir, tadi tidur siang dua jam an. NANTI KALAU GABISA TIDUR GIMANA CA\xf0\x9f\x99\x82\xf0\x9f\x98\xad\xf0\x9f\x98\xad'",0,0
USER Ngaku anjir ini au siapa https://t.co/7ns4AjRhrl',0,0
USER Ga enak banget anjir budeg sebelah\xf0\x9f\x98\xad\xf0\x9f\x98\xad',0,0
USER USER Anjir lo siapa\xf0\x9f\x91\x8a',0,1
USER USER USER Anjir gua ngebayangin \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad bau bgt sial',0,0
USER Ini siapa dah yang gambar anjir https://t.co/FYBjwVX1ZL',0,0
"USER ga mgantuk anjir,,, td siang ketiduran sialan https://t.co/0Wd4njQZdG'",0,0
"USER RT USER anjir siap2 dm an sm alvino isinya ""gue diving ye"" ""jangan diving dulu anjir"" ""FAAKKKKK GUE BARU DIVING"" \xf0\x9f\x98\x80\xf0\x9f\x91\x8d'",1,0
USER USER hikd terus siapa dong anjir',0,0
"USER Ngadi-ngadi itu siapa anjir, Mir? :"" https://t.co/cih3GhOnts'",0,0
"USER anjir siap2 dm an sm alvino isinya ""gue diving ye"" ""jangan diving dulu anjir"" ""FAAKKKKK GUE BARU DIVING"" \xf0\x9f\x98\x80\xf0\x9f\x91\x8d'",1,0
USER RT USER kok bisa ya orang2 di drakor disekolah sampe malem sendiri. gue kekantin siang siang aja harus ditemenin anjir',0,0
USER USER gua pusing bgt anjir dari td gua mikir lah gua dman sama siapa ya bianca apa sharon apasih heran',0,0
USER Bisa2nya anjir wkwkwk siapa selain winwin? https://t.co/hOFBC4fLfp',0,0
"USER USER gatau mau ngetik siapa anjir, bias gue siapa anjrot'",0,0
USER USER anjir wkwk kan nanya siapa tau',0,0
USER kok bisa ya orang2 di drakor disekolah sampe malem sendiri. gue kekantin siang siang aja harus ditemenin anjir',0,0
USER skarang mau telpon temen rl takut bgt anjir terakhir aku telpon dia lagi pacaran sm cowonya berasa nge ganggu sungkan akhirnya kalo ada yg bingung aku simpen sendiri ga tanya siapa2\xf0\x9f\x98\x94',0,0
"USER RT USER USER USER USER Emosi banget gua kalau ada yang ngirim gituan di base. Anjir lah yang ngewe siapa, yang sur\xe2\x80\xa6'",1,1
USER USER siapa yg ibu anjir',0,0
USER RT USER nana emy ralen siti sera clay cinta siapa lagi anjir',0,0
USER USER USER dia siapa anjir',0,0
USER USER nick lo aneh anjir gue kira siapa',0,0
USER OOOOH JADI HANGE ITU HANJI???? gue bingung anjir hange siapa gitu kan taunya hanji \xf0\x9f\x98\xad\xf0\x9f\x98\xad di subtitle tulisannya hanji soalnyaaaAa \xf0\x9f\x98\xad\xf0\x9f\x98\xad',0,0
USER ehhh ada yg dgrin music travel love gasiih??? enak bgt anjir tiap gua denger adem ayem kek angin sepoi di siang hari',0,0
USER USER USER Wkwkwkkw siapa anjir WA coba',0,0
